timestamp,ticker,shares,entry,stop_loss,target,risk_per_share,risk_aud,order_ref,parent_id,tp_id,sl_id,trigger_count,composite_score,account,paper
2026-04-05 13:46:52,MAU.AX,2941,1.907,1.803,2.109,0.104,305.86,ASX-20260405-MAU,8,9,10,2,62.2,DUK913437,True
2026-04-05 13:46:55,IMR.AX,1500,1.874,1.74,2.34,0.134,201.0,ASX-20260405-IMR,12,13,14,2,59.1,DUK913437,True
2026-04-07 18:39:03,ASM.AX,1818,1.469,1.3,1.796,0.169,307.24,ASX-20260407-ASM,88,89,90,2,68.1,DUK913437,True
2026-04-07 18:39:06,PPC.AX,1648,1.931,1.748,2.294,0.183,301.58,ASX-20260407-PPC,96,97,98,2,43.0,DUK913437,True
2026-04-07 18:39:09,GNP.AX,373,7.968,7.187,9.595,0.781,291.31,ASX-20260407-GNP,102,103,104,2,82.5,DUK913437,True
